account_id,district_id,frequency,date
576,3,monthly_issuance,2012-12-27
3818,1,monthly_issuance,2012-12-27
704,1,monthly_issuance,2012-12-27
2378,1,monthly_issuance,2012-12-27
2632,2,monthly_issuance,2012-12-28
1972,1,monthly_issuance,2012-12-28
1539,1,issuance_after_trans,2012-12-29
793,4,monthly_issuance,2012-12-29
2484,4,monthly_issuance,2012-12-29
1695,2,monthly_issuance,2012-12-29
1726,2,monthly_issuance,2012-12-29
2881,1,monthly_issuance,2012-12-30
2357,2,monthly_issuance,2012-12-30
2177,3,monthly_issuance,2012-12-30
485,3,issuance_after_trans,2012-12-30
652,2,monthly_issuance,2012-12-31
9635,1,monthly_issuance,2012-12-31
1844,1,monthly_issuance,2013-01-01
1926,1,monthly_issuance,2013-01-01
2393,2,monthly_issuance,2013-01-02
3510,4,monthly_issuance,2013-01-02
1276,3,monthly_issuance,2013-01-02
1637,1,monthly_issuance,2013-01-03
3871,4,monthly_issuance,2013-01-03
192,1,monthly_issuance,2013-01-03
764,4,monthly_issuance,2013-01-03
2087,4,weekly_issuance,2013-01-03
2122,4,monthly_issuance,2013-01-03
3592,1,monthly_issuance,2013-01-03
3487,2,monthly_issuance,2013-01-03
435,1,monthly_issuance,2013-01-03
1730,2,monthly_issuance,2013-01-04
1493,2,monthly_issuance,2013-01-04
374,3,monthly_issuance,2013-01-04
2925,4,monthly_issuance,2013-01-05
866,4,monthly_issuance,2013-01-05
1628,2,monthly_issuance,2013-01-05
2379,4,monthly_issuance,2013-01-05
1979,1,monthly_issuance,2013-01-06
346,1,monthly_issuance,2013-01-06
1338,4,monthly_issuance,2013-01-06
1909,1,monthly_issuance,2013-01-07
2099,1,weekly_issuance,2013-01-07
3760,3,monthly_issuance,2013-01-08
5270,3,monthly_issuance,2013-01-08
1699,2,monthly_issuance,2013-01-09
3909,4,monthly_issuance,2013-01-09
2926,4,monthly_issuance,2013-01-09
1731,3,monthly_issuance,2013-01-09
11265,3,monthly_issuance,2013-01-09
2519,4,monthly_issuance,2013-01-10
10364,1,monthly_issuance,2013-01-12
1481,4,monthly_issuance,2013-01-12
401,3,monthly_issuance,2013-01-13
4034,2,monthly_issuance,2013-01-13
2330,1,monthly_issuance,2013-01-14
1806,2,monthly_issuance,2013-01-14
3834,2,monthly_issuance,2013-01-14
1222,4,monthly_issuance,2013-01-15
212,3,weekly_issuance,2013-01-15
456,4,monthly_issuance,2013-01-16
459,2,monthly_issuance,2013-01-16
772,4,monthly_issuance,2013-01-16
1019,1,monthly_issuance,2013-01-16
11295,4,monthly_issuance,2013-01-16
2970,3,monthly_issuance,2013-01-17
2676,4,monthly_issuance,2013-01-17
1536,3,weekly_issuance,2013-01-17
1179,4,monthly_issuance,2013-01-18
280,2,monthly_issuance,2013-01-18
2425,1,monthly_issuance,2013-01-18
9307,1,monthly_issuance,2013-01-19
4055,1,monthly_issuance,2013-01-19
5065,1,monthly_issuance,2013-01-19
3704,1,monthly_issuance,2013-01-19
477,2,monthly_issuance,2013-01-20
5891,4,monthly_issuance,2013-01-20
1000,1,monthly_issuance,2013-01-20
1750,4,monthly_issuance,2013-01-21
2023,4,monthly_issuance,2013-01-21
6473,4,monthly_issuance,2013-01-21
1649,2,monthly_issuance,2013-01-21
2670,3,monthly_issuance,2013-01-22
1127,4,monthly_issuance,2013-01-22
163,1,monthly_issuance,2013-01-22
2566,1,monthly_issuance,2013-01-22
9,1,monthly_issuance,2013-01-22
1144,2,monthly_issuance,2013-01-23
2902,4,monthly_issuance,2013-01-23
4296,3,monthly_issuance,2013-01-23
443,1,monthly_issuance,2013-01-23
3693,2,monthly_issuance,2013-01-24
2070,2,monthly_issuance,2013-01-24
1843,2,monthly_issuance,2013-01-25
2714,2,monthly_issuance,2013-01-25
4078,4,monthly_issuance,2013-01-25
1675,2,monthly_issuance,2013-01-27
5868,4,monthly_issuance,2013-01-28
1805,1,monthly_issuance,2013-01-28
2434,1,monthly_issuance,2013-01-28
3007,4,monthly_issuance,2013-01-28
2574,2,monthly_issuance,2013-01-28
862,4,weekly_issuance,2013-01-28
1132,2,weekly_issuance,2013-01-29
4484,1,monthly_issuance,2013-01-29
943,4,monthly_issuance,2013-01-29
3514,1,monthly_issuance,2013-01-29
3983,3,monthly_issuance,2013-01-30
9265,1,monthly_issuance,2013-01-30
465,1,monthly_issuance,2013-01-30
982,1,monthly_issuance,2013-01-31
411,1,monthly_issuance,2013-01-31
890,4,monthly_issuance,2013-01-31
627,2,monthly_issuance,2013-01-31
2429,1,monthly_issuance,2013-02-01
3960,4,monthly_issuance,2013-02-01
2256,2,monthly_issuance,2013-02-01
8051,4,weekly_issuance,2013-02-02
2647,2,monthly_issuance,2013-02-03
2241,4,monthly_issuance,2013-02-03
5622,2,monthly_issuance,2013-02-03
2884,1,monthly_issuance,2013-02-03
1830,4,monthly_issuance,2013-02-03
7753,1,monthly_issuance,2013-02-03
244,2,monthly_issuance,2013-02-03
1477,1,monthly_issuance,2013-02-03
4240,4,monthly_issuance,2013-02-03
1006,1,monthly_issuance,2013-02-03
830,1,monthly_issuance,2013-02-03
9188,4,monthly_issuance,2013-02-03
1965,1,issuance_after_trans,2013-02-03
1134,2,monthly_issuance,2013-02-04
1601,2,monthly_issuance,2013-02-04
2861,1,monthly_issuance,2013-02-05
813,3,monthly_issuance,2013-02-05
2585,3,monthly_issuance,2013-02-05
2220,1,monthly_issuance,2013-02-05
2763,3,monthly_issuance,2013-02-06
2342,3,monthly_issuance,2013-02-06
1944,1,monthly_issuance,2013-02-07
1966,1,monthly_issuance,2013-02-07
1801,1,monthly_issuance,2013-02-08
2543,4,monthly_issuance,2013-02-08
2293,1,monthly_issuance,2013-02-08
11013,1,weekly_issuance,2013-02-09
2423,4,monthly_issuance,2013-02-09
142,4,monthly_issuance,2013-02-10
3424,1,monthly_issuance,2013-02-11
539,2,issuance_after_trans,2013-02-11
979,1,monthly_issuance,2013-02-11
3554,3,monthly_issuance,2013-02-11
3545,1,monthly_issuance,2013-02-12
3047,1,monthly_issuance,2013-02-12
3374,1,monthly_issuance,2013-02-12
96,2,monthly_issuance,2013-02-13
461,1,monthly_issuance,2013-02-13
3593,2,monthly_issuance,2013-02-13
3026,1,monthly_issuance,2013-02-13
1054,3,monthly_issuance,2013-02-14
2433,3,monthly_issuance,2013-02-14
3691,2,monthly_issuance,2013-02-14
3787,3,monthly_issuance,2013-02-14
128,1,monthly_issuance,2013-02-14
3168,4,monthly_issuance,2013-02-15
4937,2,monthly_issuance,2013-02-15
2124,4,monthly_issuance,2013-02-15
322,2,monthly_issuance,2013-02-15
4355,4,monthly_issuance,2013-02-16
1678,4,monthly_issuance,2013-02-17
2396,3,monthly_issuance,2013-02-17
1005,2,weekly_issuance,2013-02-18
697,2,monthly_issuance,2013-02-18
925,4,monthly_issuance,2013-02-18
2110,2,monthly_issuance,2013-02-18
1366,2,monthly_issuance,2013-02-19
1050,4,issuance_after_trans,2013-02-19
3117,2,monthly_issuance,2013-02-19
562,1,monthly_issuance,2013-02-20
5369,4,monthly_issuance,2013-02-20
2242,2,weekly_issuance,2013-02-20
197,4,monthly_issuance,2013-02-20
496,1,monthly_issuance,2013-02-21
2,2,monthly_issuance,2013-02-21
7401,2,monthly_issuance,2013-02-21
2486,2,monthly_issuance,2013-02-22
428,2,monthly_issuance,2013-02-22
3651,3,monthly_issuance,2013-02-22
1775,1,monthly_issuance,2013-02-22
1688,3,monthly_issuance,2013-02-22
361,4,monthly_issuance,2013-02-22
1829,3,monthly_issuance,2013-02-22
1575,2,monthly_issuance,2013-02-22
9203,1,monthly_issuance,2013-02-22
3008,2,monthly_issuance,2013-02-22
239,1,weekly_issuance,2013-02-24
3302,3,monthly_issuance,2013-02-25
415,1,monthly_issuance,2013-02-26
3513,2,monthly_issuance,2013-02-26
4134,1,monthly_issuance,2013-02-26
1077,4,monthly_issuance,2013-02-26
1713,2,monthly_issuance,2013-02-26
1378,1,monthly_issuance,2013-02-27
2503,4,monthly_issuance,2013-02-28
559,2,monthly_issuance,2013-02-28
6555,2,weekly_issuance,2013-02-28
744,1,monthly_issuance,2013-03-01
882,2,monthly_issuance,2013-03-01
86,2,monthly_issuance,2013-03-02
1126,4,monthly_issuance,2013-03-03
2666,4,monthly_issuance,2013-03-03
944,1,monthly_issuance,2013-03-03
1545,4,monthly_issuance,2013-03-03
2453,1,monthly_issuance,2013-03-03
3734,4,monthly_issuance,2013-03-03
3935,3,monthly_issuance,2013-03-03
396,2,monthly_issuance,2013-03-03
2694,4,monthly_issuance,2013-03-03
4596,4,monthly_issuance,2013-03-04
2489,1,monthly_issuance,2013-03-04
2895,1,monthly_issuance,2013-03-04
317,4,monthly_issuance,2013-03-05
